Product_Name,Brand,Rating,Monthly_Sales,Price_SAR,Old_Price_SAR,Offer,Shipping,Competition_Count,Category_Main,Category_Sub,Market_Competition,Brand_Class,Is_Rated,Has_Sales,Discount,Weight_Est,Shipping_Cost,Referral_Fee_Rate,Referral_Fee_Value,Price_After_Discount,Price_Drop,Final_Cost,Net_Revenue,Is_Profitable,Competition_Level,Market_Competition_Level,Supplier_Count,Avg_Supplier_Score,Avg_Entry_Cost,Avg_Price_Range,Supply_Index,Cost_Index,Category_Level,Attractiveness,Demand_Index
TEFAL Secure5 Neo 7L Pressure Cooker,tefal,4.4,50.0,299.0,559.0,20% off,FREE delivery,0,Kitchen & Appliances,Kitchen Cookware,10000,midrange,1,1,0.2,2.5,29.0,14.0,41.86000000000001,239.20000000000002,260.0,268.20000000000005,197.34,1,no competition,medium,0.6200000000000001,0.6493559846299144,0.256952130176747,0.008553923689440579,0.7189459700610537,0.743047869823253,Highly Attractive,0.6084956007096382,0.42474362186086545
ALSAIF Pressure Cooker 5L,alsaif,4.1,50.0,92.0,130.0,20% off,FREE delivery,0,Kitchen & Appliances,Kitchen Cookware,10000,generic,1,1,0.2,2.5,29.0,14.0,12.88,73.60000000000001,38.0,102.60000000000001,60.720000000000006,1,no competition,medium,0.6200000000000001,0.6493559846299144,0.256952130176747,0.008553923689440579,0.7189459700610537,0.743047869823253,Highly Attractive,0.6084956007096382,0.42474362186086545
Royalford Premium Cookware 8pcs,royalford,4.1,50.0,139.4,139.4,20% off,FREE delivery,0,Kitchen & Appliances,Kitchen Cookware,10000,midrange,1,1,0.2,2.5,29.0,14.0,19.516000000000002,111.52000000000001,0.0,140.52,92.004,1,no competition,medium,0.6200000000000001,0.6493559846299144,0.256952130176747,0.008553923689440579,0.7189459700610537,0.743047869823253,Highly Attractive,0.6084956007096382,0.42474362186086545
TEFAL Super Cook 12pcs Set,tefal,4.4,50.0,358.0,358.0,20% off,FREE delivery,0,Kitchen & Appliances,Kitchen Cookware,10000,midrange,1,1,0.2,2.5,29.0,14.0,50.120000000000005,286.40000000000003,0.0,315.40000000000003,236.28000000000003,1,no competition,medium,0.6200000000000001,0.6493559846299144,0.256952130176747,0.008553923689440579,0.7189459700610537,0.743047869823253,Highly Attractive,0.6084956007096382,0.42474362186086545
Royalford 3pcs Non-Stick Cookware Set,royalford,4.1,,46.99,61.3,20% off,FREE delivery,0,Kitchen & Appliances,Kitchen Cookware,10000,midrange,1,0,0.2,2.5,29.0,14.0,6.578600000000001,37.592000000000006,14.309999999999995,66.59200000000001,31.013400000000004,1,no competition,medium,0.6200000000000001,0.6493559846299144,0.256952130176747,0.008553923689440579,0.7189459700610537,0.743047869823253,Highly Attractive,0.6084956007096382,0.42474362186086545
TEFAL Performance Plus 22/28cm Set,tefal,4.2,,139.0,179.0,20% off,FREE delivery,0,Kitchen & Appliances,Kitchen Cookware,10000,midrange,1,0,0.2,2.5,29.0,14.0,19.46,111.2,40.0,140.2,91.74000000000001,1,no competition,medium,0.6200000000000001,0.6493559846299144,0.256952130176747,0.008553923689440579,0.7189459700610537,0.743047869823253,Highly Attractive,0.6084956007096382,0.42474362186086545
Nonstick Pancake Pan 7 Cup Faces,generic,4.5,50.0,62.98,78.99,20% off,FREE delivery,1,Kitchen & Appliances,Kitchen Cookware,10000,generic,1,1,0.2,2.5,29.0,14.0,8.8172,50.384,16.009999999999998,79.384,41.5668,1,low,medium,0.6200000000000001,0.6493559846299144,0.256952130176747,0.008553923689440579,0.7189459700610537,0.743047869823253,Highly Attractive,0.6084956007096382,0.42474362186086545
British Chef 3L Pressure Cooker,british chef,5.0,,59.0,59.0,20% off,FREE delivery,0,Kitchen & Appliances,Kitchen Cookware,10000,generic,1,0,0.2,2.5,29.0,14.0,8.260000000000002,47.2,0.0,76.2,38.94,1,no competition,medium,0.6200000000000001,0.6493559846299144,0.256952130176747,0.008553923689440579,0.7189459700610537,0.743047869823253,Highly Attractive,0.6084956007096382,0.42474362186086545
TEFAL Easy Cook & Clean Crepe Pan,tefal,4.5,50.0,85.51,92.0,20% off,FREE delivery,0,Kitchen & Appliances,Kitchen Cookware,10000,midrange,1,1,0.2,2.5,29.0,14.0,11.971400000000003,68.408,6.489999999999995,97.408,56.4366,1,no competition,medium,0.6200000000000001,0.6493559846299144,0.256952130176747,0.008553923689440579,0.7189459700610537,0.743047869823253,Highly Attractive,0.6084956007096382,0.42474362186086545
CAROTE 21pcs Cookware Set,carote,4.6,50.0,599.99,599.99,20% off,FREE delivery,0,Kitchen & Appliances,Kitchen Cookware,10000,midrange,1,1,0.2,2.5,29.0,14.0,83.99860000000001,479.992,0.0,508.992,395.9934,1,no competition,medium,0.6200000000000001,0.6493559846299144,0.256952130176747,0.008553923689440579,0.7189459700610537,0.743047869823253,Highly Attractive,0.6084956007096382,0.42474362186086545
